"speciesid","Year","spending","X","speciesname","taxon","conservation_status","listed"
11,2014,956187.18504436,538,"Balaena mysticetus","Mammals","3",1
11,2015,917124.901265823,538,"Balaena mysticetus","Mammals","3",1
11,2016,1014963.185,538,"Balaena mysticetus","Mammals","3",1
11,1996,851367.112810707,538,"Balaena mysticetus","Mammals","3",1
11,1997,353142.523364486,538,"Balaena mysticetus","Mammals","3",1
11,1998,1879.60122699387,538,"Balaena mysticetus","Mammals","3",1
11,1999,3677.97118847539,538,"Balaena mysticetus","Mammals","3",1
11,2000,3558.36236933798,538,"Balaena mysticetus","Mammals","3",1
11,2001,34599.0965556183,538,"Balaena mysticetus","Mammals","3",1
11,2002,10155.5052807115,538,"Balaena mysticetus","Mammals","3",1
11,2003,271604.101630435,538,"Balaena mysticetus","Mammals","3",1
11,2004,246679.071995765,538,"Balaena mysticetus","Mammals","3",1
11,2005,1702692.00460829,538,"Balaena mysticetus","Mammals","3",1
11,2006,4887527.42857143,538,"Balaena mysticetus","Mammals","3",1
11,2007,2604870.30390738,538,"Balaena mysticetus","Mammals","3",1
11,2008,2316470.49558755,538,"Balaena mysticetus","Mammals","3",1
11,2009,3467920.47132867,538,"Balaena mysticetus","Mammals","3",1
11,2010,3170625.28748281,538,"Balaena mysticetus","Mammals","3",1
11,2011,3803165.15162294,538,"Balaena mysticetus","Mammals","3",1
11,2012,5998354.93118467,538,"Balaena mysticetus","Mammals","3",1
11,2013,27227943.3540773,538,"Balaena mysticetus","Mammals","3",1
54,2015,906819.325316456,572,"Calidris canutus","Birds","4",1
54,2016,1073823.95,572,"Calidris canutus","Birds","4",1
84,2014,51774.3979721166,589,"Gambusia georgei","Fishes","Extinct",1
84,2015,827.341772151899,589,"Gambusia georgei","Fishes","Extinct",1
84,2016,1838.25,589,"Gambusia georgei","Fishes","Extinct",1
84,1996,87479.9235181644,589,"Gambusia georgei","Fishes","Extinct",1
84,1997,58793.4579439252,589,"Gambusia georgei","Fishes","Extinct",1
84,1998,51876.9938650307,589,"Gambusia georgei","Fishes","Extinct",1
84,1999,29423.7695078031,589,"Gambusia georgei","Fishes","Extinct",1
84,2000,0,589,"Gambusia georgei","Fishes","Extinct",1
84,2001,138.396386222473,589,"Gambusia georgei","Fishes","Extinct",1
84,2002,136.242356864925,589,"Gambusia georgei","Fishes","Extinct",1
84,2003,3543.29347826087,589,"Gambusia georgei","Fishes","Extinct",1
84,2004,1323.46214928534,589,"Gambusia georgei","Fishes","Extinct",1
84,2005,6124.36251920123,589,"Gambusia georgei","Fishes","Extinct",1
84,2006,8794.90773809524,589,"Gambusia georgei","Fishes","Extinct",1
84,2007,6655.41678726483,589,"Gambusia georgei","Fishes","Extinct",1
84,2008,569.205759405481,589,"Gambusia georgei","Fishes","Extinct",1
84,2009,571.328671328671,589,"Gambusia georgei","Fishes","Extinct",1
84,2010,2359.97248968363,589,"Gambusia georgei","Fishes","Extinct",1
84,2011,544.908848377056,589,"Gambusia georgei","Fishes","Extinct",1
84,2012,1067.50871080139,589,"Gambusia georgei","Fishes","Extinct",1
84,2013,648139.073819742,589,"Gambusia georgei","Fishes","Extinct",1
94,2014,1064503.36755387,611,"Plestiodon reynoldsi","Reptiles","3",1
94,2015,1619395.34936709,611,"Plestiodon reynoldsi","Reptiles","3",1
94,2016,913666.41875,611,"Plestiodon reynoldsi","Reptiles","3",1
94,1996,67671.9694072658,611,"Plestiodon reynoldsi","Reptiles","3",1
94,1997,17500.5981308411,611,"Plestiodon reynoldsi","Reptiles","3",1
94,1998,92025.2760736196,611,"Plestiodon reynoldsi","Reptiles","3",1
94,1999,460334.87394958,611,"Plestiodon reynoldsi","Reptiles","3",1
94,2000,15130.1567944251,611,"Plestiodon reynoldsi","Reptiles","3",1
94,2001,5000.26143421796,611,"Plestiodon reynoldsi","Reptiles","3",1
94,2002,18528.9605336298,611,"Plestiodon reynoldsi","Reptiles","3",1
94,2003,52027.8032608696,611,"Plestiodon reynoldsi","Reptiles","3",1
94,2004,61295.760190577,611,"Plestiodon reynoldsi","Reptiles","3",1
